Cimento_kg,Agua_L,Aditivo_ml,Tempo_Cura_dias,Resistencia_MPa
324.9,194.9,1.5,7,24.79
440.1,155.9,13.5,14,52.79
396.4,161.3,7.6,56,53.86
369.7,212.9,12.4,14,38.01
281.2,192.5,4.8,7,25.84
281.2,150.6,13.4,14,32.51
261.6,157.1,5.8,7,26.52
423.2,196.4,0.2,14,36.55
370.2,150.4,13.6,7,43.97
391.6,161.3,1.4,7,40.62
254.1,188.4,4.8,7,14.22
444.0,198.4,14.3,56,60.76
416.5,195.6,14.3,14,48.53
292.5,165.7,8.6,14,30.69
286.4,199.9,9.5,14,29.19
286.7,166.6,6.7,7,25.7
310.8,172.8,4.4,14,30.53
355.0,202.3,4.9,14,33.18
336.4,195.5,10.1,7,35.8
308.2,209.4,11.3,28,36.04
372.4,196.0,11.9,7,39.07
277.9,189.8,11.8,14,28.44
308.4,156.6,1.4,7,26.19
323.3,175.7,7.4,28,36.5
341.2,168.6,0.9,7,31.06
407.0,167.1,8.2,14,43.57
289.9,218.1,6.6,28,30.44
352.8,177.5,13.3,56,58.12
368.5,212.4,5.3,14,36.76
259.3,194.2,1.8,28,24.22
371.5,205.6,2.1,28,40.82
284.1,185.2,11.4,56,41.91
263.0,190.4,9.3,7,18.9
439.8,184.5,1.5,7,38.51
443.1,163.7,1.3,14,40.36
411.7,200.6,10.5,56,55.59
310.9,169.7,1.1,7,26.54
269.5,151.7,12.3,56,48.6
386.8,195.2,10.6,7,40.08
338.0,162.4,1.2,28,36.16
274.4,215.8,1.3,7,20.6
349.0,216.8,14.8,56,44.69
256.9,214.0,5.6,28,26.06
431.9,175.9,5.6,28,51.41
301.8,151.1,12.2,28,36.14
382.5,215.0,14.2,56,56.89
312.3,180.0,14.8,14,37.0
354.0,217.7,11.3,14,35.01
359.3,217.5,5.6,14,34.89
287.0,209.7,1.3,56,40.89
443.9,170.6,11.7,28,55.47
405.0,177.0,8.4,14,44.29
437.9,209.6,6.4,56,55.25
429.0,172.2,13.6,14,47.93
369.6,161.9,1.7,7,36.58
434.4,189.0,7.4,14,43.5
267.7,215.5,0.2,14,19.36
289.2,198.7,7.0,28,30.23
259.0,189.9,0.8,56,34.4
315.1,156.8,1.8,28,35.57
327.7,193.1,1.8,28,35.94
304.3,219.3,9.7,28,31.94
415.7,159.8,11.2,28,51.54
321.4,186.3,8.8,28,34.86
306.2,211.4,14.4,14,31.58
358.5,201.9,5.6,28,39.59
278.2,198.8,4.3,28,30.34
410.4,199.2,13.0,56,55.63
264.9,175.2,3.4,7,24.06
447.4,170.6,14.4,14,56.3
404.4,206.7,0.2,14,37.34
289.7,206.7,14.5,14,35.85
251.1,210.7,0.6,28,20.13
413.1,213.9,13.4,28,45.77
391.4,185.8,7.9,28,40.8
395.8,185.1,14.9,56,62.16
404.3,205.9,1.1,7,36.44
264.8,195.5,8.3,28,29.38
321.7,199.1,14.5,7,34.2
273.2,205.7,7.8,56,35.02
422.6,212.3,9.4,14,49.71
374.7,173.7,10.4,28,46.05
316.2,176.3,6.8,7,30.3
262.7,156.6,9.4,7,28.56
312.2,190.5,8.8,28,37.09
315.0,152.5,13.5,14,38.47
395.9,182.6,0.7,14,35.54
377.5,188.0,4.2,14,38.17
427.4,170.1,14.3,56,67.75
344.4,191.4,13.4,7,39.5
273.9,152.1,6.8,7,30.88
392.6,152.6,9.3,7,41.31
402.2,207.6,4.2,56,48.47
362.3,175.2,2.8,7,32.93
404.2,158.9,7.0,56,56.9
348.8,186.6,5.3,14,37.04
354.5,203.9,8.8,28,35.66
335.5,165.1,1.2,7,33.68
255.1,193.6,14.6,7,25.6
271.6,156.0,14.8,14,32.12
256.3,153.6,10.5,28,30.62
377.3,187.2,8.0,56,47.79
312.9,187.8,4.6,28,35.76
351.7,194.6,12.2,14,38.34
431.5,200.8,10.3,14,42.85
299.9,218.3,2.4,28,25.14
332.1,186.1,13.7,56,49.12
401.1,172.6,12.3,56,62.7
295.8,205.7,14.2,7,29.04
265.4,169.0,10.9,56,37.9
308.0,180.7,9.2,28,35.8
282.2,155.5,6.3,14,28.71
435.9,151.8,14.0,7,43.92
411.6,217.4,13.0,7,41.76
376.7,208.5,0.7,14,32.55
424.3,198.7,0.4,56,53.8
410.7,178.6,5.6,14,47.21
287.3,162.1,12.2,56,48.42
428.5,161.0,14.8,14,50.96
357.9,167.5,2.3,28,36.53
411.5,188.4,8.9,56,62.88
429.2,200.0,5.7,28,47.48
313.6,196.2,14.5,7,32.8
272.0,169.6,12.6,14,30.79
295.6,216.8,12.6,7,28.26
335.4,201.7,7.0,7,30.08
413.6,188.8,6.2,7,38.93
422.1,192.8,4.1,7,38.43
251.4,179.4,0.8,14,20.44
352.1,167.3,13.0,7,37.39
333.5,174.9,12.2,14,35.76
294.4,203.0,15.0,14,32.55
274.0,151.0,14.9,28,37.53
317.5,158.1,8.3,56,51.01
438.6,153.2,11.5,56,57.47
314.6,152.9,14.2,14,40.96
353.8,209.9,12.7,28,44.82
390.6,199.3,3.7,14,32.17
322.7,183.2,6.8,14,31.47
444.4,156.8,1.9,14,45.21
442.5,184.4,14.3,28,51.81
300.4,183.1,9.1,56,41.7
349.4,162.1,3.4,28,36.65
310.2,180.4,10.1,7,35.32
307.0,177.9,9.3,28,38.91
257.4,193.1,5.4,28,30.24
371.9,194.5,1.7,28,40.3
350.5,153.2,10.1,28,41.43
260.3,176.2,7.8,56,37.31
305.7,193.8,11.6,7,31.46
431.7,185.2,7.8,56,55.41
297.9,210.0,12.8,56,45.21
279.0,196.1,8.3,28,30.56
347.9,161.4,8.4,14,37.15
447.1,154.9,13.1,14,55.13
298.4,195.0,6.1,56,41.75
384.4,151.9,2.0,56,51.09
402.3,191.0,0.4,28,44.56
297.5,215.8,11.3,56,39.33
395.6,190.3,9.3,28,47.78
323.6,177.2,10.6,14,36.67
376.5,195.0,3.2,14,34.92
376.7,182.1,2.0,7,34.78
357.2,188.2,0.2,14,29.01
268.1,215.9,5.3,56,37.16
417.1,177.0,8.8,14,44.93
314.2,217.3,5.9,28,30.94
287.3,213.4,6.6,14,28.17
258.2,163.7,13.6,7,26.36
368.2,154.9,5.2,14,35.61
385.5,157.1,7.7,28,42.83
253.3,151.3,11.8,28,35.26
352.4,156.6,5.9,56,46.93
295.3,197.8,9.3,14,33.8
379.0,155.0,12.9,28,44.04
284.9,172.3,14.2,7,35.29
388.2,209.1,2.2,56,48.5
327.3,151.6,13.9,7,37.35
437.3,207.0,7.4,14,43.19
277.5,169.7,3.9,14,27.24
318.2,158.3,6.9,14,33.76
272.7,198.8,14.7,56,45.2
434.9,194.0,7.4,28,49.79
425.5,211.4,4.9,56,54.28
301.6,201.5,9.5,7,26.97
382.0,206.2,3.6,56,48.16
413.4,169.7,1.1,7,39.59
361.0,162.4,1.9,56,44.02
355.9,202.5,1.9,28,32.69
298.4,206.5,2.3,7,24.61
268.6,219.3,2.1,14,20.56
429.4,178.9,9.6,14,46.73
430.1,176.0,2.7,56,56.01
376.6,204.3,5.2,14,37.03
317.8,173.9,13.5,7,33.05
319.8,215.2,7.1,14,27.69
395.2,210.1,10.0,28,45.51
429.4,180.0,2.6,28,44.63
427.4,202.6,2.9,56,54.64
406.0,202.8,0.6,7,30.7
