Consumo_Energia_kWh,Desperdicio_Material_%,Horas_Atraso
4305.2,25.6,88.0
1707.6,4.0,10.0
4483.3,15.5,77.0
2029.7,10.4,143.0
1474.0,3.2,10.0
1613.8,4.1,7.0
4195.6,21.1,69.0
2120.0,8.4,135.0
1746.3,3.0,9.0
4570.1,22.6,96.0
1703.0,7.6,135.0
4988.5,25.7,85.0
4667.5,23.2,81.0
1766.0,9.4,177.0
1396.8,3.0,7.0
1739.2,3.0,3.0
1291.6,3.4,13.0
1515.6,4.1,10.0
4612.2,24.9,88.0
1812.1,6.9,176.0
1939.5,6.1,131.0
2298.1,6.1,153.0
2032.1,7.7,129.0
4258.9,22.5,81.0
4333.9,19.3,76.0
1651.5,4.9,16.0
2306.2,8.0,159.0
2243.8,9.2,136.0
4991.7,17.8,79.0
2034.1,6.2,137.0
1301.5,2.4,14.0
1957.3,8.2,190.0
1373.0,2.9,19.0
4510.2,29.0,80.0
4750.1,21.5,92.0
1125.1,4.1,4.0
4033.2,21.1,87.0
4670.7,19.8,84.0
1177.0,5.4,7.0
2087.4,5.3,174.0
1542.2,3.6,3.0
1253.2,4.3,12.0
1726.6,6.8,144.0
1628.0,5.4,21.0
4625.7,23.5,75.0
1837.9,3.8,11.0
1589.2,4.2,15.0
1284.0,3.9,7.0
1843.6,2.7,12.0
4325.5,18.7,77.0
1404.2,4.9,6.0
1639.6,7.0,161.0
1351.3,4.2,4.0
1758.1,5.0,151.0
4386.3,25.3,70.0
2189.9,10.9,170.0
2151.8,6.8,193.0
4288.5,18.7,71.0
4269.0,23.2,80.0
4868.3,19.6,80.0
4599.3,22.4,80.0
1604.9,2.8,156.0
2108.3,12.3,159.0
1451.3,3.0,21.0
1877.3,7.9,123.0
4132.8,22.4,67.0
4661.6,22.0,79.0
3901.9,24.1,101.0
2238.1,4.8,164.0
4522.8,29.5,88.0
5003.3,21.7,94.0
1955.0,11.7,145.0
4223.8,24.5,87.0
1971.2,8.8,181.0
2000.6,11.4,161.0
4438.9,23.8,95.0
1490.6,4.5,23.0
1502.3,3.7,10.0
5001.8,16.5,64.0
1866.0,4.4,9.0
1335.6,2.3,6.0
1584.6,4.6,9.0
2186.9,10.1,180.0
1922.4,7.1,174.0
1489.2,6.7,122.0
1653.4,2.4,9.0
2012.9,6.8,165.0
1932.6,7.7,154.0
1647.3,4.6,6.0
4137.1,18.0,60.0
