Fissura_mm,Corrosao_mm,Idade_Estrutura_anos,Status_Risco
1.94,1.72,6.0,1
0.3,0.32,4.8,0
3.92,5.45,22.5,2
2.05,2.92,11.2,1
1.93,2.33,6.4,1
0.36,0.0,4.7,0
2.51,1.72,8.9,1
3.47,5.55,21.1,2
1.77,2.22,11.9,1
1.98,1.98,8.3,1
5.16,6.65,25.1,2
0.54,0.29,4.8,0
0.64,0.2,3.8,0
0.51,0.04,1.4,0
0.71,0.21,3.6,0
0.95,2.07,5.6,1
4.22,5.47,19.6,2
2.24,1.75,13.6,1
1.18,1.49,9.9,1
3.11,5.88,30.0,2
0.48,0.34,4.9,0
2.68,6.35,24.9,2
0.38,0.26,4.1,0
3.29,5.15,20.9,2
4.02,7.58,24.9,2
2.24,3.5,26.4,2
4.55,6.27,29.5,2
4.21,5.42,25.0,2
0.62,0.24,4.5,0
0.73,0.51,4.5,0
0.6,0.34,1.9,0
0.22,0.31,1.7,0
1.29,2.94,9.8,1
0.35,0.51,4.5,0
0.35,0.62,3.4,0
4.68,6.42,27.0,2
1.63,2.09,6.3,1
0.52,0.21,2.4,0
0.83,0.29,2.5,0
0.49,0.35,5.0,0
3.36,6.23,19.9,2
1.34,2.18,8.5,1
1.51,1.37,5.3,1
0.32,0.49,5.0,0
0.6,0.08,2.7,0
1.56,1.65,5.1,1
4.76,5.93,15.7,2
4.34,5.3,26.7,2
1.7,2.44,14.9,1
3.66,2.65,16.4,2
1.6,2.1,11.4,1
4.01,6.67,25.6,2
1.3,1.28,11.0,1
0.71,0.41,1.2,0
4.88,6.5,15.5,2
1.92,0.9,7.9,1
1.01,0.59,1.2,0
0.62,0.21,1.9,0
0.49,0.22,1.4,0
1.29,1.72,8.1,1
3.85,5.01,29.0,2
0.33,0.55,1.9,0
0.64,0.12,1.7,0
0.54,0.2,1.7,0
1.38,2.32,6.7,1
0.69,0.23,1.9,0
1.59,2.66,6.0,1
3.84,5.85,25.2,2
0.23,0.12,1.5,0
2.13,2.35,12.1,1
3.66,4.38,17.7,2
0.85,0.48,1.7,0
4.85,5.43,23.5,2
2.98,5.76,25.0,2
1.49,2.78,5.1,1
1.65,1.88,5.9,1
3.0,6.5,27.3,2
2.3,2.1,9.3,1
0.7,-0.03,3.7,0
2.37,2.22,7.0,1
2.95,3.76,21.7,2
0.62,0.15,4.8,0
0.86,0.51,4.0,0
1.43,1.24,10.6,1
1.97,1.95,10.0,1
0.37,0.32,2.6,0
2.98,4.21,25.4,2
0.24,0.34,4.8,0
0.45,0.2,3.3,0
1.73,1.49,12.8,1
1.46,1.96,5.3,1
3.48,5.58,28.0,2
1.17,2.12,10.2,1
2.52,6.53,29.7,2
2.33,5.74,21.1,2
1.52,2.56,6.3,1
0.38,0.35,4.1,0
0.35,0.44,2.9,0
3.04,5.98,24.3,2
3.6,5.07,25.1,2
0.7,0.39,2.7,0
0.23,0.2,1.9,0
0.63,0.76,4.3,0
1.74,2.12,9.8,1
3.68,5.24,28.1,2
0.13,0.39,1.9,0
4.89,5.14,28.0,2
3.55,5.99,22.3,2
0.55,0.47,5.0,0
1.98,1.97,5.7,1
1.43,2.54,7.0,1
3.99,7.0,18.2,2
1.61,2.3,6.2,1
3.11,6.66,27.6,2
0.54,0.03,2.1,0
3.13,5.46,26.1,2
1.59,2.19,9.6,1
4.6,5.85,21.5,2
1.76,1.46,12.0,1
2.22,1.24,13.0,1
1.8,2.23,11.9,1
0.19,0.59,3.1,0
1.49,2.6,7.7,1
0.96,2.17,10.7,1
0.58,0.1,4.6,0
1.58,1.96,9.0,1
3.07,5.13,25.1,2
3.53,3.94,25.3,2
1.03,0.24,3.1,0
1.21,1.65,10.8,1
4.02,5.58,27.1,2
2.17,5.15,24.8,2
0.39,0.58,1.6,0
4.36,6.23,28.2,2
0.59,0.52,1.1,0
1.76,1.78,11.9,1
3.82,5.18,16.6,2
3.81,4.83,15.4,2
1.61,2.72,14.4,1
3.24,5.03,29.2,2
2.01,2.72,5.8,1
1.83,1.36,7.4,1
5.21,4.22,23.6,2
3.82,2.6,16.8,2
0.31,0.21,3.4,0
1.36,2.35,5.4,1
4.34,6.04,18.0,2
0.38,0.31,3.5,0
1.76,2.28,13.0,1
4.06,4.95,17.1,2
